500	0.00055
1000	0.001445
1500	0.00161
2000	0.002562
2500	0.002927
3000	0.003732
3500	0.004691
4000	0.006357
4500	0.007034
5000	0.007549
5500	0.008236
6000	0.008977
6500	0.008865
7000	0.011295
7500	0.011635
8000	0.013898
8500	0.014408
9000	0.013398
9500	0.015049
10000	0.015516
10500	0.017348
11000	0.017583
11500	0.01878
12000	0.019267
12500	0.021426
13000	0.021604
13500	0.02288
14000	0.023205
14500	0.025193
15000	0.025147
15500	0.02797
16000	0.028521
16500	0.033464
17000	0.029418
17500	0.03014
18000	0.032933
18500	0.037114
19000	0.034079
19500	0.036125
20000	0.038069
20500	0.052646
21000	0.043109
21500	0.038953
22000	0.040863
22500	0.042722
23000	0.042474
23500	0.042872
24000	0.045289
24500	0.045891
25000	0.048697
