500	0.000247
1000	0.000488
1500	0.000817
2000	0.001224
2500	0.001447
3000	0.001681
3500	0.001953
4000	0.002976
4500	0.002788
5000	0.003129
5500	0.003887
6000	0.003607
6500	0.004841
7000	0.005072
7500	0.004581
8000	0.004863
8500	0.005443
9000	0.006142
9500	0.006123
10000	0.00657
10500	0.006595
11000	0.008398
11500	0.007963
12000	0.007896
12500	0.009075
13000	0.00849
13500	0.009569
14000	0.009859
14500	0.010403
15000	0.010175
15500	0.01028
16000	0.010309
16500	0.011636
17000	0.011499
17500	0.011969
18000	0.011814
18500	0.012254
19000	0.012734
19500	0.013051
20000	0.012962
20500	0.013743
21000	0.014535
21500	0.01563
22000	0.015618
22500	0.015556
23000	0.015865
23500	0.016979
24000	0.01678
24500	0.01719
25000	0.018502
